y,x,char,value
0,0,-,0.1431036740541458
0,1,-,0.13333162665367126
0,2,-,0.007656855974346399
0,3,-,0.01858561672270298
0,4,-,0.012033435516059399
0,5,-,0.010506209917366505
0,6,-,0.017403176054358482
0,7,-,0.012976518832147121
0,8,-,0.005009056534618139
0,9,-,0.004890021402388811
0,10,-,0.004383191931992769
0,11,-,0.04255017638206482
0,12,-,0.41858136653900146
0,13,-,1.03205144405365
0,14,-,0.36143842339515686
0,15,-,0.06495092809200287
0,16,-,0.021192803978919983
0,17,-,0.014304892159998417
0,18,-,0.008739924058318138
0,19,-,0.010521418415009975
0,20,-,0.021377092227339745
0,21,-,0.03027159906923771
0,22,-,0.02696136198937893
0,23,-,0.038429129868745804
0,24,-,0.036866627633571625
0,25,-,0.033324532210826874
0,26,-,0.04117225855588913
0,27,-,0.01903575472533703
0,28,-,0.014158914797008038
0,29,-,0.05518350377678871
0,30,-,0.08560151606798172
0,31,-,0.018398098647594452
0,32,-,0.020275717601180077
0,33,-,0.04616128280758858
0,34,-,0.07345765829086304
0,35,-,0.06887857615947723
0,36,-,0.1553422063589096
0,37,-,0.0622430145740509
0,38,-,0.43312591314315796
0,39,-,0.3889990746974945
0,40,-,1.5600078105926514
0,41,-,0.6478421688079834
0,42,-,0.14094775915145874
0,43,-,0.0
0,44,-,0.0
0,45,-,0.0
0,46,-,0.0
0,47,-,0.0
0,48,-,0.0
0,49,-,0.0
0,50,-,0.0
0,51,-,0.0
0,52,-,0.0
0,53,-,0.0
0,54,-,0.0
0,55,-,0.0
0,56,-,0.0
0,57,-,0.0
0,58,-,0.0
0,59,-,0.0
0,60,-,0.0
0,61,-,0.0
0,62,-,0.0
0,63,-,0.0
0,64,-,0.0
0,65,-,0.0
0,66,-,0.0
0,67,-,0.0
0,68,-,0.0
0,69,-,0.0
0,70,-,0.0
0,71,-,0.0
0,72,-,0.0
0,73,-,0.0
0,74,-,0.0
0,75,-,0.0
0,76,-,0.0
0,77,-,0.0
0,78,-,0.0
0,79,-,0.0
0,80,-,0.0
0,81,-,0.0
0,82,-,0.0
0,83,-,0.0
0,84,-,0.0
0,85,-,0.0
0,86,-,0.0
0,87,-,0.0
0,88,-,0.0
0,89,-,0.0
0,90,-,0.0
0,91,-,0.0
0,92,-,0.0
0,93,-,0.0
0,94,-,0.0
0,95,-,0.0
0,96,-,0.0
0,97,-,0.0
0,98,-,0.0
0,99,-,0.0
1,0,-,0.46707332134246826
1,1,-,0.5291418433189392
1,2,-,0.06319065392017365
1,3,-,0.02269032970070839
1,4,-,0.0182068832218647
1,5,-,0.013258222490549088
1,6,-,0.0183723121881485
1,7,-,0.014965297654271126
1,8,-,0.008401901461184025
1,9,-,0.008462927304208279
1,10,-,0.015867117792367935
1,11,-,0.03781256452202797
1,12,-,0.09246361255645752
1,13,-,0.0495249480009079
1,14,-,0.032797835767269135
1,15,-,0.05079541355371475
1,16,-,0.10121513903141022
1,17,-,0.09248307347297668
1,18,-,0.036506351083517075
1,19,-,0.018692798912525177
1,20,-,0.016654402017593384
1,21,-,0.02544635348021984
1,22,-,0.06236790865659714
1,23,-,0.05253400653600693
1,24,-,0.041360192000865936
1,25,-,0.05854498967528343
1,26,-,0.11285009235143661
1,27,-,0.03812456503510475
1,28,-,0.018529919907450676
1,29,-,0.02542978711426258
1,30,-,0.032571062445640564
1,31,-,0.02271469682455063
1,32,-,0.010973861441016197
1,33,-,0.07258222997188568
1,34,-,0.03606301546096802
1,35,-,0.07254937291145325
1,36,-,0.2532649636268616
1,37,-,0.07851192355155945
1,38,-,0.5045768022537231
1,39,-,0.5150600671768188
1,40,-,2.1351895332336426
1,41,-,1.707845687866211
1,42,-,0.15400183200836182
1,43,-,0.0
1,44,-,0.0
1,45,-,0.0
1,46,-,0.0
1,47,-,0.0
1,48,-,0.0
1,49,-,0.0
1,50,-,0.0
1,51,-,0.0
1,52,-,0.0
1,53,-,0.0
1,54,-,0.0
1,55,-,0.0
1,56,-,0.0
1,57,-,0.0
1,58,-,0.0
1,59,-,0.0
1,60,-,0.0
1,61,-,0.0
1,62,-,0.0
1,63,-,0.0
1,64,-,0.0
1,65,-,0.0
1,66,-,0.0
1,67,-,0.0
1,68,-,0.0
1,69,-,0.0
1,70,-,0.0
1,71,-,0.0
