y,x,char,value
0,0,-,0.034787826240062714
0,1,-,0.012395231984555721
0,2,-,0.00851800199598074
0,3,-,0.026765521615743637
0,4,-,0.04337232932448387
0,5,-,0.010849280282855034
0,6,-,0.01733827032148838
0,7,-,0.016777725890278816
0,8,-,0.018425416201353073
0,9,-,0.01962421089410782
0,10,-,0.015520686283707619
0,11,-,0.018635503947734833
0,12,-,0.026868972927331924
0,13,-,0.024309517815709114
0,14,-,0.012704518623650074
0,15,-,0.007231283932924271
0,16,-,0.007619613781571388
0,17,-,0.007983412593603134
0,18,-,0.010160357691347599
0,19,-,0.05683688074350357
0,20,-,0.006109647452831268
0,21,-,0.010483086109161377
0,22,-,0.008737348951399326
0,23,-,0.0257573202252388
0,24,-,0.024565158411860466
0,25,-,0.018263982608914375
0,26,-,0.016750715672969818
0,27,-,0.012496953830122948
0,28,-,0.0067192004062235355
0,29,-,0.008358271792531013
0,30,-,0.012723970226943493
0,31,-,0.006241715978831053
0,32,-,0.007721128407865763
0,33,-,0.010174071416258812
0,34,-,0.022736141458153725
0,35,-,0.02703067846596241
0,36,-,0.02170562371611595
0,37,-,0.026792220771312714
0,38,-,0.4741763472557068
0,39,-,0.04519132524728775
0,40,-,0.019928235560655594
0,41,-,0.02509015053510666
0,42,-,0.036000143736600876
0,43,-,0.07872358709573746
0,44,-,0.07080323994159698
0,45,-,0.0
0,46,-,0.0
0,47,-,0.0
0,48,-,0.0
0,49,-,0.0
0,50,-,0.0
0,51,-,0.0
0,52,-,0.0
0,53,-,0.0
0,54,-,0.0
0,55,-,0.0
0,56,-,0.0
0,57,-,0.0
0,58,-,0.0
0,59,-,0.0
0,60,-,0.0
0,61,-,0.0
0,62,-,0.0
0,63,-,0.0
0,64,-,0.0
0,65,-,0.0
0,66,-,0.0
0,67,-,0.0
0,68,-,0.0
0,69,-,0.0
0,70,-,0.0
0,71,-,0.0
0,72,-,0.0
0,73,-,0.0
0,74,-,0.0
0,75,-,0.0
0,76,-,0.0
0,77,-,0.0
0,78,-,0.0
0,79,-,0.0
0,80,-,0.0
0,81,-,0.0
0,82,-,0.0
0,83,-,0.0
0,84,-,0.0
0,85,-,0.0
0,86,-,0.0
0,87,-,0.0
0,88,-,0.0
0,89,-,0.0
0,90,-,0.0
0,91,-,0.0
0,92,-,0.0
0,93,-,0.0
0,94,-,0.0
0,95,-,0.0
0,96,-,0.0
0,97,-,0.0
0,98,-,0.0
0,99,-,0.0
1,0,-,0.058715179562568665
1,1,-,0.04688577353954315
1,2,-,0.014994507655501366
1,3,-,0.008260183967649937
1,4,-,0.011117746122181416
1,5,-,0.017367344349622726
1,6,-,0.01678704097867012
1,7,-,0.016214674338698387
1,8,-,0.023148123174905777
1,9,-,0.025158820673823357
1,10,-,0.012708007358014584
1,11,-,0.0143666323274374
1,12,-,0.054535895586013794
1,13,-,0.08631269633769989
1,14,-,0.008749035187065601
1,15,-,0.006472399923950434
1,16,-,0.017057353630661964
1,17,-,0.015949800610542297
1,18,-,0.010697529651224613
1,19,-,0.011299875564873219
1,20,-,0.014566116034984589
1,21,-,0.013113627210259438
1,22,-,0.014154644683003426
1,23,-,0.012932517565786839
1,24,-,0.0170414038002491
1,25,-,0.02924596145749092
1,26,-,0.02673274464905262
1,27,-,0.022334303706884384
1,28,-,0.0203548576682806
1,29,-,0.0056236605159938335
1,30,-,0.007078857626765966
1,31,-,0.0082809217274189
1,32,-,0.00721337553113699
1,33,-,0.01437770389020443
1,34,-,0.038462016731500626
1,35,-,0.014734826050698757
1,36,-,0.017277291044592857
1,37,-,0.02157444693148136
1,38,-,0.057006485760211945
1,39,-,0.0287032388150692
1,40,-,0.13808363676071167
1,41,-,0.015000995248556137
1,42,-,0.021636201068758965
1,43,-,0.23839552700519562
1,44,-,0.029587818309664726
1,45,-,0.0
1,46,-,0.0
1,47,-,0.0
1,48,-,0.0
1,49,-,0.0
